k;0.367
f;0.02
ke;0.858
max H2;16.3147
max Q;442.433
oscillation t;105

time;Q;H1;H2
0;0;24.8924;7.4828
0.367;-2.1352;24.8923;7.48288
0.734;-2.18419;24.8923;7.48292
1.101;-0.53067;24.8922;7.48297
1.468;1.6175;24.8922;7.48303
1.835;2.91224;24.8921;7.48313
2.202;5.1025;24.8919;7.48326
2.569;7.22505;24.8918;7.48343
2.936;8.27836;24.8915;7.48365
3.303;8.89956;24.8913;7.48388
3.67;9.30959;24.8911;7.48413
4.037;9.61698;24.8908;7.48438
4.404;9.87768;24.8906;7.48463
4.771;10.1212;24.8903;7.48489
5.138;10.3636;24.89;7.48516
5.505;10.614;24.8897;7.48544
5.872;10.878;24.8895;7.48572
6.239;11.1597;24.8892;7.48601
6.606;11.4626;24.8889;7.4863
6.973;11.7904;24.8886;7.48661
7.34;12.147;24.8883;7.48692
7.707;12.5368;24.8879;7.48725
8.074;12.9654;24.8876;7.48758
8.441;13.4397;24.8873;7.48793
8.808;13.9681;24.8869;7.48828
9.175;14.5613;24.8865;7.48866
9.542;15.2336;24.8861;7.48905
9.909;17.7493;24.8857;7.48946
10.276;21.3898;24.8852;7.48997
10.643;24.3643;24.8846;7.49058
11.01;26.747;24.8839;7.49125
11.377;28.6345;24.8832;7.49198
11.744;30.1245;24.8824;7.49275
12.111;31.3051;24.8816;7.49356
12.478;32.2498;24.8808;7.4944
12.845;33.0179;24.8799;7.49525
13.212;33.6551;24.8791;7.49613
13.579;34.1966;24.8782;7.49702
13.946;34.6687;24.8773;7.49792
14.313;35.0913;24.8763;7.49884
14.68;35.479;24.8754;7.49976
15.047;35.8427;24.8745;7.5007
15.414;36.1906;24.8735;7.50164
15.781;36.5288;24.8726;7.50259
16.148;36.8616;24.8716;7.50355
16.515;37.1927;24.8707;7.50453
16.882;37.5246;24.8697;7.5055
17.249;37.8592;24.8687;7.50649
17.616;38.1984;24.8677;7.50749
17.983;38.5432;24.8667;7.5085
18.35;38.8948;24.8657;7.50951
18.717;39.254;24.8646;7.51053
19.084;39.6218;24.8636;7.51157
19.451;39.9988;24.8626;7.51261
19.818;40.3856;24.8615;7.51367
20.185;40.783;24.8605;7.51473
20.552;41.1916;24.8594;7.5158
20.919;41.612;24.8583;7.51689
21.286;42.045;24.8572;7.51799
21.653;42.4912;24.8561;7.51909
22.02;42.9514;24.855;7.52021
22.387;43.4263;24.8538;7.52134
22.754;43.9167;24.8527;7.52249
23.121;44.4236;24.8515;7.52365
23.488;44.9478;24.8504;7.52482
23.855;45.4903;24.8492;7.526
24.222;47.9207;24.848;7.5272
24.589;52.0001;24.8467;7.52851
24.956;55.8389;24.8453;7.52993
25.323;59.4375;24.8437;7.53144
25.69;62.7995;24.8421;7.53305
26.057;65.9309;24.8404;7.53474
26.424;68.8399;24.8387;7.5365
26.791;71.5361;24.8368;7.53834
27.158;74.0305;24.8349;7.54025
27.525;76.3345;24.833;7.54223
27.892;78.4603;24.8309;7.54426
28.259;80.42;24.8288;7.54634
28.626;82.2256;24.8267;7.54847
28.993;83.889;24.8245;7.55065
29.36;85.4216;24.8223;7.55287
29.727;86.8342;24.8201;7.55513
30.094;88.1373;24.8178;7.55742
30.461;89.3404;24.8154;7.55975
30.828;90.4528;24.8131;7.56211
31.195;91.4827;24.8107;7.56449
31.562;92.4381;24.8083;7.5669
31.929;93.3261;24.8058;7.56934
32.296;94.1533;24.8034;7.5718
32.663;94.9257;24.8009;7.57428
33.03;95.6489;24.7984;7.57677
33.397;96.3279;24.7959;7.57929
33.764;96.9672;24.7934;7.58182
34.131;97.5711;24.7908;7.58437
34.498;98.1432;24.7882;7.58694
34.865;98.6869;24.7857;7.58952
35.232;99.2054;24.7831;7.59211
35.599;99.7014;24.7805;7.59472
35.966;100.177;24.7778;7.59734
36.333;100.636;24.7752;7.59997
36.7;101.078;24.7726;7.60262
37.067;101.507;24.7699;7.60527
37.434;101.924;24.7672;7.60794
37.801;102.33;24.7646;7.61062
38.168;102.726;24.7619;7.6133
38.535;103.115;24.7592;7.616
38.902;103.496;24.7565;7.61871
39.269;103.872;24.7538;7.62143
39.636;104.242;24.751;7.62416
40.003;104.608;24.7483;7.62689
40.37;104.97;24.7455;7.62964
40.737;105.33;24.7428;7.6324
41.104;105.687;24.74;7.63516
41.471;106.043;24.7372;7.63794
41.838;106.397;24.7345;7.64072
42.205;106.75;24.7317;7.64352
42.572;107.103;24.7289;7.64632
42.939;107.456;24.7261;7.64913
43.306;107.809;24.7232;7.65195
43.673;108.163;24.7204;7.65478
44.04;108.518;24.7176;7.65762
44.407;108.874;24.7147;7.66047
44.774;109.231;24.7119;7.66333
45.141;109.59;24.709;7.6662
45.508;109.951;24.7061;7.66908
45.875;110.314;24.7032;7.67196
46.242;110.679;24.7003;7.67486
46.609;111.046;24.6974;7.67777
46.976;111.416;24.6945;7.68068
47.343;111.789;24.6916;7.68361
47.71;112.164;24.6886;7.68654
48.077;113.831;24.6857;7.68949
48.444;116.667;24.6827;7.69251
48.811;119.379;24.6796;7.69561
49.178;121.972;24.6764;7.69877
49.545;124.449;24.6732;7.702
49.912;126.814;24.6699;7.70529
50.279;129.072;24.6665;7.70865
50.646;131.225;24.6631;7.71206
51.013;133.278;24.6597;7.71553
51.38;135.235;24.6561;7.71905
51.747;137.1;24.6526;7.72262
52.114;138.878;24.6489;7.72624
52.481;140.571;24.6453;7.7299
52.848;142.184;24.6416;7.73361
53.215;143.72;24.6378;7.73736
53.582;145.184;24.634;7.74114
53.949;146.578;24.6302;7.74497
54.316;147.907;24.6264;7.74883
54.683;149.174;24.6225;7.75272
55.05;150.381;24.6185;7.75665
55.417;151.532;24.6146;7.76061
55.784;152.631;24.6106;7.76459
56.151;153.679;24.6066;7.76861
56.518;154.68;24.6025;7.77265
56.885;155.636;24.5985;7.77672
57.252;156.549;24.5944;7.78081
57.619;157.423;24.5903;7.78493
57.986;158.259;24.5861;7.78906
58.353;159.06;24.582;7.79322
58.72;159.828;24.5778;7.7974
59.087;160.564;24.5736;7.8016
59.454;161.27;24.5694;7.80582
59.821;161.949;24.5651;7.81006
60.188;162.601;24.5609;7.81431
60.555;163.229;24.5566;7.81858
60.922;163.834;24.5523;7.82287
61.289;164.417;24.548;7.82717
61.656;164.98;24.5437;7.83149
62.023;165.524;24.5394;7.83582
62.39;166.05;24.535;7.84017
62.757;166.558;24.5307;7.84453
63.124;167.052;24.5263;7.8489
63.491;167.53;24.5219;7.85329
63.858;167.995;24.5175;7.85768
64.225;168.446;24.5131;7.86209
64.592;168.886;24.5087;7.86652
64.959;169.314;24.5042;7.87095
65.326;169.732;24.4998;7.87539
65.693;170.14;24.4953;7.87985
66.06;170.539;24.4909;7.88431
66.427;170.929;24.4864;7.88879
66.794;171.311;24.4819;7.89327
67.161;171.686;24.4774;7.89777
67.528;172.053;24.4729;7.90228
67.895;172.415;24.4684;7.90679
68.262;172.77;24.4639;7.91131
68.629;173.119;24.4593;7.91585
68.996;173.464;24.4548;7.92039
69.363;173.804;24.4502;7.92494
69.73;174.139;24.4457;7.9295
70.097;174.47;24.4411;7.93407
70.464;174.798;24.4365;7.93865
70.831;175.122;24.4319;7.94324
71.198;175.443;24.4274;7.94783
71.565;175.761;24.4227;7.95244
71.932;176.076;24.4181;7.95705
72.299;177.587;24.4135;7.96167
72.666;180.219;24.4088;7.96636
73.033;182.775;24.4041;7.97112
73.4;185.256;24.3992;7.97594
73.767;187.663;24.3944;7.98083
74.134;189.997;24.3894;7.98578
74.501;192.262;24.3844;7.99079
74.868;194.457;24.3793;7.99586
75.235;196.585;24.3742;8.00098
75.602;198.646;24.369;8.00617
75.969;200.644;24.3638;8.0114
76.336;202.579;24.3585;8.01668
76.703;204.453;24.3532;8.02202
77.07;206.268;24.3478;8.0274
77.437;208.025;24.3424;8.03283
77.804;209.726;24.3369;8.03831
