k;0.486
f;0.02
ke;0
max H2;10.3973
max Q;521.309
oscillation t;12025.7

time;Q;H1;H2
0;0;18;0
0.486;-3.15024;17.9999;8.08799e-005
0.972;-3.45143;17.9999;0.000127977
1.458;2.32627;17.9998;0.000157379
1.944;4.02469;17.9997;0.000307394
2.43;7.06987;17.9995;0.000506014
2.916;8.78713;17.9992;0.000791452
3.402;9.42387;17.9989;0.00111067
3.888;9.78051;17.9986;0.00144478
4.374;10.0761;17.9982;0.00178956
4.86;10.3722;17.9979;0.00214443
5.346;10.6881;17.9975;0.00250988
5.832;11.032;17.9971;0.00288675
6.318;11.4101;17.9967;0.00327613
6.804;11.8288;17.9963;0.00367932
7.29;12.2959;17.9959;0.00409786
7.776;12.8214;17.9955;0.00453359
8.262;13.4181;17.995;0.00498875
8.748;14.1034;17.9945;0.0054661
9.234;14.9009;17.994;0.0059691
9.72;16.67;17.9935;0.00650219
10.206;21.847;17.9928;0.0071745
10.692;25.7849;17.992;0.00800465
11.178;28.6759;17.991;0.00895265
11.664;30.7676;17.99;0.00998642
12.15;32.2869;17.9889;0.0110823
12.636;33.4135;17.9878;0.0122236
13.122;34.2781;17.9866;0.0133991
13.608;34.9716;17.9854;0.0146015
14.094;35.5558;17.9842;0.0158259
14.58;36.0718;17.9829;0.0170693
15.066;36.5471;17.9817;0.0183299
15.552;36.9997;17.9804;0.0196065
16.038;37.442;17.9791;0.0208986
16.524;37.8821;17.9778;0.022206
17.01;38.3258;17.9765;0.0235287
17.496;38.7771;17.9751;0.024867
17.982;39.239;17.9738;0.0262211
18.468;39.7138;17.9724;0.0275915
18.954;40.2033;17.971;0.0289785
19.44;40.7094;17.9696;0.0303829
19.926;41.2334;17.9682;0.0318051
20.412;41.7769;17.9668;0.0332459
20.898;42.3414;17.9653;0.0347059
21.384;42.9285;17.9638;0.0361859
21.87;43.5397;17.9623;0.0376866
22.356;44.1768;17.9608;0.0392091
22.842;44.8418;17.9592;0.0407541
23.328;45.5368;17.9577;0.0423227
23.814;46.264;17.9561;0.043916
24.3;51.1907;17.9544;0.0455938
24.786;56.5455;17.9525;0.047465
25.272;61.4583;17.9505;0.0495145
25.758;65.9378;17.9483;0.051727
26.244;70.0011;17.9459;0.0540877
26.73;73.6709;17.9434;0.0565825
27.216;76.9743;17.9408;0.0591983
27.702;79.9403;17.9381;0.0619228
28.188;82.599;17.9353;0.0647449
28.674;84.9801;17.9323;0.0676543
29.16;87.1123;17.9294;0.0706421
29.646;89.023;17.9263;0.0736999
30.132;90.7374;17.9232;0.0768205
30.618;92.2788;17.92;0.0799976
31.104;93.6684;17.9168;0.0832256
31.59;94.9252;17.9135;0.0864994
32.076;96.0663;17.9102;0.0898147
32.562;97.1068;17.9068;0.0931679
33.048;98.0602;17.9034;0.0965557
33.534;98.9382;17.9;0.0999752
34.02;99.7513;17.8966;0.103424
34.506;100.508;17.8931;0.1069
34.992;101.218;17.8896;0.110402
35.478;101.886;17.8861;0.113927
35.964;102.519;17.8825;0.117475
36.45;103.123;17.879;0.121045
36.936;103.701;17.8754;0.124634
37.422;104.259;17.8718;0.128244
37.908;104.798;17.8681;0.131873
38.394;105.323;17.8645;0.13552
38.88;105.836;17.8608;0.139185
39.366;106.34;17.8571;0.142868
39.852;106.835;17.8534;0.146568
40.338;107.325;17.8497;0.150285
40.824;107.81;17.846;0.154019
41.31;108.292;17.8422;0.15777
41.796;108.772;17.8385;0.161538
42.282;109.251;17.8347;0.165322
42.768;109.73;17.8309;0.169123
43.254;110.21;17.8271;0.172941
43.74;110.691;17.8232;0.176775
44.226;111.175;17.8194;0.180626
44.712;111.661;17.8155;0.184493
45.198;112.151;17.8116;0.188378
45.684;112.645;17.8077;0.19228
46.17;113.142;17.8038;0.196199
46.656;113.644;17.7999;0.200135
47.142;114.151;17.7959;0.204089
47.628;114.664;17.7919;0.208061
48.114;115.777;17.7879;0.21205
48.6;119.718;17.7839;0.216138
49.086;123.435;17.7796;0.22036
49.572;126.936;17.7753;0.224706
50.058;130.23;17.7708;0.22917
50.544;133.326;17.7663;0.233745
51.03;136.234;17.7616;0.238425
51.516;138.964;17.7568;0.243202
52.002;141.526;17.7519;0.248071
52.488;143.928;17.747;0.253026
52.974;146.181;17.7419;0.258062
53.46;148.294;17.7368;0.263173
53.946;150.276;17.7316;0.268356
54.432;152.135;17.7264;0.273605
54.918;153.879;17.7211;0.278917
55.404;155.517;17.7157;0.284288
55.89;157.055;17.7103;0.289713
56.376;158.501;17.7048;0.295191
56.862;159.862;17.6993;0.300717
57.348;161.143;17.6937;0.306289
57.834;162.351;17.6881;0.311904
58.32;163.491;17.6824;0.31756
58.806;164.569;17.6767;0.323254
59.292;165.588;17.671;0.328985
59.778;166.554;17.6652;0.33475
60.264;167.471;17.6595;0.340548
60.75;168.343;17.6536;0.346377
61.236;169.173;17.6478;0.352235
61.722;169.964;17.6419;0.358122
62.208;170.72;17.636;0.364035
62.694;171.444;17.63;0.369974
63.18;172.139;17.6241;0.375938
63.666;172.806;17.6181;0.381925
64.152;173.448;17.6121;0.387935
64.638;174.068;17.606;0.393967
65.124;174.666;17.6;0.40002
65.61;175.246;17.5939;0.406094
66.096;175.808;17.5878;0.412187
66.582;176.354;17.5817;0.4183
67.068;176.886;17.5756;0.424431
67.554;177.404;17.5694;0.430581
68.04;177.911;17.5633;0.436748
68.526;178.407;17.5571;0.442933
69.012;178.894;17.5509;0.449134
69.498;179.371;17.5446;0.455353
69.984;179.841;17.5384;0.461588
70.47;180.303;17.5322;0.467839
70.956;180.759;17.5259;0.474106
71.442;181.21;17.5196;0.480389
71.928;181.656;17.5133;0.486687
72.414;184.869;17.507;0.493039
72.9;188.507;17.5005;0.499521
73.386;192.008;17.4939;0.506126
73.872;195.376;17.4872;0.51285
74.358;198.613;17.4803;0.519689
74.844;201.724;17.4734;0.526638
75.33;204.713;17.4663;0.533693
75.816;207.582;17.4592;0.540849
76.302;210.336;17.4519;0.548104
76.788;212.979;17.4445;0.555451
77.274;215.514;17.4371;0.562889
77.76;217.945;17.4296;0.570413
78.246;220.276;17.422;0.57802
78.732;222.511;17.4143;0.585705
79.218;224.653;17.4065;0.593467
79.704;226.706;17.3987;0.601302
80.19;228.673;17.3908;0.609206
80.676;230.558;17.3828;0.617177
81.162;232.365;17.3748;0.625212
81.648;234.096;17.3667;0.633309
82.134;235.754;17.3585;0.641464
82.62;237.344;17.3503;0.649676
83.106;238.867;17.3421;0.657942
83.592;240.327;17.3337;0.66626
84.078;241.727;17.3254;0.674627
84.564;243.069;17.317;0.683042
85.05;244.356;17.3085;0.691502
85.536;245.59;17.3;0.700006
86.022;246.775;17.2914;0.708553
86.508;247.911;17.2829;0.717139
86.994;249.002;17.2742;0.725764
87.48;250.049;17.2656;0.734426
87.966;251.055;17.2569;0.743124
88.452;252.022;17.2481;0.751856
88.938;252.951;17.2394;0.760621
89.424;253.845;17.2306;0.769418
89.91;254.705;17.2218;0.778245
90.396;255.532;17.2129;0.787101
90.882;256.329;17.204;0.795986
91.368;257.097;17.1951;0.804898
91.854;257.837;17.1862;0.813836
92.34;258.55;17.1772;0.822799
92.826;259.239;17.1682;0.831786
93.312;259.904;17.1592;0.840797
93.798;260.546;17.1502;0.849831
94.284;261.167;17.1411;0.858886
94.77;261.768;17.132;0.867963
95.256;262.349;17.1229;0.87706
95.742;262.912;17.1138;0.886177
96.228;263.878;17.1047;0.895313
96.714;266.877;17.0955;0.904526
97.2;269.786;17.0862;0.913841
97.686;272.608;17.0767;0.923256
98.172;275.345;17.0672;0.932767
98.658;277.998;17.0576;0.942372
99.144;280.569;17.0479;0.952067
99.63;283.061;17.0381;0.96185
100.116;285.474;17.0283;0.971719
100.602;287.812;17.0183;0.98167
101.088;290.076;17.0083;0.9917
101.574;292.268;16.9982;1.00181
102.06;294.39;16.988;1.01199
102.546;296.444;16.9778;1.02225
103.032;298.432;16.9674;1.03257
103.518;300.355;16.957;1.04297
104.004;302.215;16.9466;1.05342
104.49;304.015;16.9361;1.06395
104.976;305.756;16.9255;1.07453
105.462;307.439;16.9148;1.08517
105.948;309.067;16.9041;1.09588
106.434;310.64;16.8934;1.10663
106.92;312.162;16.8826;1.11744
107.406;313.633;16.8717;1.1283
107.892;315.054;16.8608;1.13922
108.378;316.428;16.8498;1.15018
108.864;317.756;16.8388;1.16119
109.35;319.04;16.8278;1.17224
109.836;320.28;16.8167;1.18334
110.322;321.478;16.8055;1.19447
110.808;322.636;16.7943;1.20565
111.294;323.755;16.7831;1.21687
111.78;324.836;16.7719;1.22813
112.266;325.881;16.7606;1.23943
112.752;326.89;16.7492;1.25076
113.238;327.865;16.7379;1.26212
113.724;328.807;16.7265;1.27352
114.21;329.717;16.715;1.28495
114.696;330.596;16.7036;1.29641
115.182;331.445;16.6921;1.3079
115.668;332.266;16.6806;1.31942
116.154;333.058;16.669;1.33097
116.64;333.824;16.6575;1.34255
117.126;334.564;16.6459;1.35415
117.612;335.279;16.6342;1.36577
118.098;335.97;16.6226;1.37743
